#{"t_start": 1691674319.968819, "env_id": "None"}
r,l,t
-91.558373,57,0.613945
-100.602401,79,13.371016
-70.627876,64,13.802277
-52.389512,70,14.185227
-42.547301,72,14.648936
-52.310206,68,15.022042
-24.022189,91,15.717235
1616.005699,195,40.544914
-65.856259,79,41.035807
1114.552746,175,41.884181
1361.262185,216,42.864335
9.654019,120,43.547071
-46.14186,73,44.13319
-46.5052,73,59.024617
723.867568,175,59.895724
-54.572682,105,60.614707
-88.70726,81,61.198184
-58.242914,61,61.66502
121.708173,115,63.047835
1536.959278,208,63.914659
-74.303212,71,64.315339
851.023496,175,65.165431
-57.410018,89,65.679709
-54.933442,77,66.871875
1117.883386,200,67.875407
899.41595,183,68.892251
55000000002673.016,294,70.194166
-76.875998,79,70.701538
-124.967797,98,72.193424
-19.259833,80,72.802869
-95.257473,86,73.331052
-116.86713,91,73.98179
-22.121391,77,74.383544
-22.892093,81,75.386653
1000000002876.5371,246,76.257323
-48.421286,91,76.777109
1348.795297,207,77.537608
170.846797,118,78.061236
91000000002692.5,322,79.95083
-59.552349,59,80.368003
-4.407028,108,80.988863
2275.583264,223,82.017525
644.48164,164,82.802441
-46.834396,89,83.437125
2225000000003800.0,2483,188.088658
2242000000003337.0,2480,195.964043
2234000000003561.5,2480,204.333352
74962.973409,2480,211.760592
2230000000003674.0,2483,219.684579
2252000000003161.5,2482,228.207212
2229000000003597.8,2478,236.351837
2249000000003353.5,2479,244.464049
2235000000003333.0,2480,255.292849
2255000000003463.5,2482,270.113688
2249000000003263.2,2483,285.341814
2241000000003403.8,2475,295.148734
2241000000003505.5,2482,302.822765
2255000000003216.0,2480,310.10421
2246000000003536.0,2479,318.159961
2235000000003466.0,2479,326.89778
2234000000003609.8,2480,337.801678
