#{"t_start": 1691505182.9806263, "env_id": "None"}
r,l,t
457000000020370.8,2615,16.531878
132000000021254.84,2270,29.87919
1.5358000000000922e+16,15873,120.804486
1.5321999999999806e+16,15886,218.857621
8776000000003276.0,10113,285.541443
6732000000006188.0,8291,344.026507
152000000019797.7,2274,370.282394
148000000019587.62,2269,396.074473
1.525300000000099e+16,15786,493.912156
1.4821999999999676e+16,15374,589.343743
136000000020753.5,2249,616.213706
3359000000014632.0,5259,657.674506
1.5389000000001588e+16,15907,755.681279
1.5228000000000732e+16,15751,852.288534
229000000020008.84,2323,878.581192
8943000000001988.0,10254,948.152097
1.2831999999998884e+16,13702,1007.854777
1.5486000000000688e+16,15999,1062.902163
1.3666999999998936e+16,14374,1111.514431
9318000000001958.0,10580,1149.21266
1.550300000000097e+16,16037,1204.918331
1.4192999999999496e+16,14820,1255.327045
1.5342000000000716e+16,15851,1310.195873
1.542300000000036e+16,15946,1364.520796
172000000020021.38,2275,1378.647124
1.5848000000001128e+16,16352,1434.278641
1.4732000000000268e+16,15268,1486.228108
1.5771000000000896e+16,16278,1540.090103
9252000000001644.0,10536,1578.577095
1.15859999999991e+16,12575,1622.742154
1.0011000000000178e+16,11177,1663.006432
733000000020414.0,2867,1678.675002
1.5036000000000834e+16,15543,1731.098387
1.5365000000001048e+16,15864,1785.502321
1.4142999999998824e+16,14843,1835.340885
1.5033000000000648e+16,15544,1891.837072
1.578100000000103e+16,16281,1990.955446
1.5033000000000784e+16,15545,2086.468242
8927000000002180.0,10245,2154.876998
132000000020951.75,2281,2181.340189
1.5806000000001228e+16,16278,2281.801807
1.3086999999998956e+16,13819,2340.665155
1.3832999999999904e+16,14430,2390.383513
8690000000002294.0,9999,2425.035511
7343000000004428.0,8847,2458.484334
1.555200000000118e+16,16053,2516.554916
184000000019882.06,2282,2532.350096
1.4980000000001076e+16,15490,2583.670438
1.5836000000001138e+16,16346,2636.842525
1.5008999999999672e+16,15556,2689.487725
1.5298000000000824e+16,15819,2744.67885
1.50640000000007e+16,15581,2796.563709
7733000000004105.0,9159,2828.94175
1.2243999999999174e+16,13173,2875.67663
1.5221000000000992e+16,15736,2928.611784
1.4885000000001044e+16,15394,2981.427958
1.5206000000000876e+16,15704,3032.097211
171000000019761.4,2285,3048.741916
1.4964000000000996e+16,15483,3097.754898
1.4185999999999812e+16,14753,3148.550549
1.3080999999998932e+16,13837,3196.358605
1.5005000000001182e+16,15525,3246.52559
1.57990000000008e+16,16305,3300.481135
1.5191000000001412e+16,15689,3351.57848
5227000000009361.0,6964,3377.731222
1.5728000000001332e+16,16236,3432.370654
195000000019418.66,2298,3446.860039
138000000019841.98,2262,3462.515706
158000000020221.97,2280,3478.9735
1.3328999999998824e+16,14041,3526.143222
8922000000001992.0,10240,3563.015926
1.438999999999956e+16,15021,3614.880338
9457000000001012.0,10741,3652.141205
1.5045000000000912e+16,15572,3703.819717
1.51620000000008e+16,15685,3760.772896
1.543600000000012e+16,15968,3814.325237
1.4457999999999626e+16,15041,3862.557628
1.5173000000000472e+16,15712,3914.823886
148000000020543.8,2277,3929.283556
661000000020663.2,2773,3945.646556
1.5149000000000718e+16,15682,4000.011072
1.5198000000001024e+16,15705,4052.258806
1.5518000000001206e+16,16009,4106.425085
180000000018942.1,2260,4121.263235
1.4954000000001048e+16,15454,4173.470271
1.4650000000000738e+16,15165,4226.326514
1.3205999999999208e+16,13966,4273.909471
1.530700000000052e+16,15820,4327.802113
1.4992000000001072e+16,15494,4376.634113
1.570500000000104e+16,16213,4428.140175
1.5425000000001312e+16,15960,4482.456652
6857000000005511.0,8396,4515.227619
1.4783999999999968e+16,15350,4566.507009
1.5242000000000748e+16,15782,4617.923181
162000000019216.8,2274,4632.393638
1.5366000000001112e+16,15849,4684.917017
8577000000002234.0,9905,4720.469081
8196000000003246.0,9570,4754.618939
95000000020034.16,2271,4769.134041
1.5036000000001146e+16,15529,4823.268399
1.4819000000000682e+16,15326,4875.817255
1.5238000000000308e+16,15746,4926.223314
1.4562999999999534e+16,15138,4978.020152
113000000021534.9,2278,4991.984804
600000000020582.5,2746,5008.158162
1.5206000000001196e+16,15686,5059.990608
1.576400000000088e+16,16282,5114.040627
1.4520999999999284e+16,15153,5165.094342
1.4758999999999816e+16,15335,5218.564307
1.249099999999923e+16,13339,5263.133865
1.519600000000052e+16,15704,5316.715703
176000000020194.56,2331,5330.825334
1.5292000000000456e+16,15807,5384.333602
